performance_label,hook_style,niche_category,content_format_clean,day_of_week,trending_sound_used,video_duration_seconds,duration_band,post_hour,views,likes,comments,shares,saves_or_favorites,followers_gained,avg_watch_time_seconds,watch_time_percentage_num,total_hashtag_count,engagement_rate_no_saves,engagement_rate_with_saves,like_rate,comment_rate,share_rate,save_rate
Medium,Question,Destination Guides,voiceover,Thursday,0,77.12,over_60,9,210211,7412,1604,1521,375,5,11.64,13.71,4,0.050125825955825334,0.0519097478248046,0.03525981038099814,0.007630428474247304,0.007235587100579893,0.0017839218689792637
Medium,Dramatic,Travel Hacks,text_overlay,Sunday,0,12.61,under_15,12,34513,1034,155,107,35,1,1.68,16.95,3,0.03755106771361516,0.03856517833859705,0.029959725320893575,0.004491061339205517,0.0031002810535160664,0.0010141106249818908
High,Tutorial,Destination Guides,voiceover,Wednesday,0,39.87,30_45,11,66075,3522,627,491,52,7,12.49,27.64,5,0.07022323117669316,0.07101021566401816,0.05330306469920545,0.00948921679909194,0.007430949678395762,0.0007869844873250095
Medium,Question,Travel Hacks,text_overlay,Saturday,0,37.59,30_45,17,90410,3738,879,669,52,9,6.94,22.17,3,0.058466983740736646,0.059042141356044686,0.04134498396195111,0.009722375843380157,0.007399623935405376,0.0005751576153080411
High,Tutorial,Travel Hacks,voiceover,Wednesday,1,22.52,15_30,11,263873,12593,2514,1639,932,24,6.47,23.49,4,0.0634623474171287,0.06699434955452055,0.04772371557529569,0.009527310486484029,0.006211321355348975,0.0035320021373918516
Medium,Statistic,Visa Application Tips,text_overlay,Monday,0,13.6,under_15,14,32524,1449,344,84,63,1,1.0,17.58,4,0.05771122863116468,0.05964825974664863,0.04455171565613086,0.01057680482105522,0.0025827081539786002,0.0019370311154839504
High,Statistic,Budget Travel,text_overlay,Monday,0,30.05,30_45,15,70925,2929,543,418,367,3,5.47,15.92,4,0.0548466690165668,0.0600211491011632,0.04129714487134297,0.007655974621078604,0.005893549524145223,0.005174480084596405
High,Tutorial,Destination Guides,voiceover,Monday,0,32.97,30_45,10,66792,3104,574,301,607,4,6.74,23.02,4,0.059573002754820935,0.06866091747514673,0.046472631452868604,0.008593843574080728,0.004506527727871601,0.009087914720325788
Medium,Dramatic,Destination Guides,voiceover,Thursday,0,16.28,15_30,9,199292,6911,1103,401,81,15,3.6,29.63,5,0.042224474640226405,0.04263091343355478,0.03467775926780804,0.005534592457298838,0.002012122915119523,0.0004064387933283825
Medium,Statistic,Destination Guides,voiceover,Saturday,1,52.29,45_60,7,7701,259,60,32,24,1,13.19,23.79,3,0.045578496299181925,0.04869497467861317,0.03363199584469549,0.007791195948578107,0.004155304505908323,0.0031164783794312427
High,Tutorial,Travel Hacks,screen_recording,Friday,0,35.41,30_45,20,281015,13735,2117,2290,804,25,6.39,19.61,5,0.06455883137910788,0.0674198886180453,0.04887639449851432,0.007533405690087718,0.008149031190505845,0.0028610572389374234
Medium,Dramatic,Destination Guides,voiceover,Wednesday,0,30.74,30_45,20,113430,3810,834,625,208,4,5.54,20.15,3,0.046451556025742746,0.04828528607952041,0.03358899761967733,0.007352552234858503,0.005510006171206912,0.0018337300537776603
High,Tutorial,Budget Travel,voiceover,Wednesday,0,18.1,15_30,12,87570,4594,834,675,60,4,4.15,22.02,5,0.06969281717483157,0.07037798332762361,0.052460888432111455,0.009523809523809525,0.007708119218910586,0.0006851661527920521
Medium,Story,Destination Guides,voiceover,Friday,0,37.86,30_45,9,253578,9656,1795,763,1004,13,9.43,21.76,3,0.048166639061748256,0.052125973073373875,0.03807901316360252,0.0070786897917011725,0.0030089361064445652,0.003959334011625614
High,Statistic,Visa Application Tips,screen_recording,Thursday,1,38.81,30_45,11,313413,17477,1216,2191,995,10,11.45,25.84,3,0.06663412174989551,0.06980884647414115,0.055763481412704645,0.003879864587620807,0.0069907757495700565,0.003174724724245644
Medium,Dramatic,Visa Application Tips,text_overlay,Saturday,1,16.91,15_30,7,81355,2918,613,283,38,8,2.49,14.05,3,0.0468809538442628,0.04734804252965399,0.03586749431503903,0.007534878003810461,0.003478581525413312,0.0004670886853911868
High,Question,Visa Application Tips,screen_recording,Wednesday,1,34.61,30_45,17,108586,4953,1418,848,71,9,6.48,19.4,4,0.06648186690733612,0.0671357265209143,0.045613615014826955,0.013058773690899379,0.007809478201609784,0.0006538596135781776
High,Tutorial,Visa Application Tips,voiceover,Sunday,0,47.91,45_60,8,144067,5923,938,1178,1198,8,4.89,12.42,3,0.055800426190591876,0.06411600158259699,0.041112815564980185,0.0065108595306350514,0.008176751094976642,0.00831557539200511
Medium,Question,Visa Application Tips,voiceover,Sunday,0,58.25,45_60,19,62746,2564,768,339,34,4,10.75,15.96,4,0.05850572148025372,0.05904758869091257,0.04086316259203774,0.012239824052529245,0.005402734835686737,0.0005418672106588468
Medium,Dramatic,Travel Hacks,voiceover,Tuesday,0,66.22,over_60,17,55269,1800,362,125,67,3,21.16,30.88,5,0.041379435126381876,0.04259168792632398,0.03256798567008631,0.0065497837847618015,0.0022616656715337712,0.0012122527999421013
High,Tutorial,Travel Hacks,text_overlay,Saturday,1,8.54,under_15,16,28746,1241,236,171,82,2,1.16,5.77,3,0.05732971543866973,0.060182286231127806,0.043171223822444864,0.008209837890489112,0.005948653725735754,0.002852570792458081
Medium,Dramatic,Travel Hacks,screen_recording,Saturday,0,33.77,30_45,14,212739,7566,807,1269,696,12,4.34,9.64,3,0.04532314244214742,0.04859475695570629,0.03556470604825632,0.003793380621324722,0.0059650557725663845,0.003271614513558868
High,Question,Visa Application Tips,voiceover,Sunday,0,34.89,30_45,12,150851,7123,1468,520,736,9,6.62,22.12,4,0.06039734572525207,0.06527633227489377,0.04721877879496987,0.009731456868035346,0.003447110062246853,0.004878986549641699
High,Question,Visa Application Tips,voiceover,Wednesday,1,21.55,15_30,14,79611,3890,843,548,211,6,6.1,24.01,4,0.06633505420105262,0.06898544171031641,0.0488625943651003,0.010588988958812225,0.006883470877140094,0.0026503875092637953
Medium,Dramatic,Destination Guides,voiceover,Sunday,1,16.78,15_30,7,87195,2564,822,324,449,6,3.76,19.95,4,0.04254831125637938,0.04769768908767705,0.02940535581168645,0.00942714605195252,0.0037158093927404092,0.005149377831297666
Medium,Dramatic,Visa Application Tips,voiceover,Thursday,0,58.71,45_60,9,41353,1340,253,264,106,2,10.45,19.84,5,0.04490605276521655,0.0474693492612386,0.032403936836505214,0.0061180567310715065,0.0063840591976398325,0.0025632964960220542
High,Statistic,Visa Application Tips,voiceover,Wednesday,0,19.58,15_30,19,28262,1014,306,219,162,3,3.21,17.84,3,0.05445474488712759,0.060186823296298916,0.035878564857405704,0.010827259217323615,0.007748920812398273,0.005732078409171325
High,Tutorial,Budget Travel,text_overlay,Friday,1,15.77,15_30,12,69711,3567,503,512,45,4,2.69,24.52,3,0.06572850769605945,0.06637402992354148,0.05116839523174248,0.007215504009410279,0.007344608454906686,0.0006455222274820329
Medium,Statistic,Travel Hacks,text_overlay,Monday,0,12.63,under_15,13,27837,1008,161,175,231,2,3.05,26.54,3,0.04828106476991055,0.05657937277723893,0.036210798577432916,0.005783669217228868,0.00628659697524877,0.008298308007328377
Medium,Question,Destination Guides,screen_recording,Tuesday,0,55.08,45_60,20,26722,1039,114,116,97,1,7.34,12.47,3,0.047488960407155154,0.051118928223935337,0.0388818202230372,0.004266147743432378,0.0043409924406855776,0.0036299678167801813
High,Tutorial,Destination Guides,voiceover,Saturday,0,42.28,30_45,8,81726,3318,848,557,275,2,5.92,13.03,5,0.057790666373002474,0.06115556860729755,0.04059907495778577,0.010376134889753566,0.006815456525463133,0.0033649022342950837
Medium,Story,Budget Travel,voiceover,Saturday,0,11.85,under_15,9,101823,3581,1121,599,53,4,1.08,6.3,4,0.05206092925959754,0.05258144034255522,0.03516887147304636,0.011009300452746432,0.00588275733380474,0.0005205110829576815
Medium,Dramatic,Visa Application Tips,voiceover,Thursday,1,39.24,30_45,10,195809,7176,1241,927,1394,18,9.97,28.87,5,0.04771997201354381,0.054839154482173955,0.0366479579590315,0.006337808783048788,0.004734205271463518,0.007119182468630145
High,Question,Destination Guides,screen_recording,Wednesday,0,35.4,30_45,17,157414,7252,1459,891,90,4,10.34,33.42,5,0.06099838642052168,0.06157012718055573,0.046069599908521476,0.009268552987663105,0.005660233524337099,0.0005717407600340503
High,Tutorial,Travel Hacks,voiceover,Tuesday,1,39.19,30_45,13,40051,1774,376,222,425,3,10.37,25.51,3,0.05922448877680957,0.0698359591520811,0.044293525754662805,0.009388030261416694,0.005542932760730069,0.010611470375271529
High,Question,Travel Hacks,voiceover,Tuesday,0,34.05,30_45,22,129549,6756,942,568,588,3,4.74,16.86,3,0.06380597302951006,0.06834479617750812,0.052150151680059285,0.007271379941180557,0.0043844414082702295,0.004538823147998055
Medium,Dramatic,Visa Application Tips,voiceover,Sunday,1,39.85,30_45,16,67942,2618,422,288,593,6,4.93,15.78,4,0.04898295605074917,0.05771098878455153,0.038532866268287655,0.006211180124223602,0.0042389096582379085,0.008728032733802361
High,Tutorial,Budget Travel,voiceover,Friday,1,8.84,under_15,15,46786,2179,254,278,181,5,2.91,28.11,3,0.057944684307271406,0.061813362971829176,0.04657376138160988,0.005428974479545163,0.00594194844611636,0.003868678664557774
Medium,Question,Visa Application Tips,text_overlay,Thursday,1,82.38,over_60,22,50389,2174,307,238,101,4,6.72,6.92,3,0.053960189723947685,0.05596459544741908,0.04314433705769116,0.006092599575304134,0.004723253090952391,0.0020044057234713925
Medium,Story,Destination Guides,voiceover,Tuesday,1,38.48,30_45,8,496312,19476,5783,2418,247,11,6.43,20.09,5,0.05576532503747643,0.05626299585744451,0.03924144489756443,0.011651944744434952,0.004871935395477038,0.0004976708199680846
Medium,Story,Destination Guides,text_overlay,Thursday,1,33.7,30_45,10,660988,27662,4852,3963,3006,56,2.39,10.68,4,0.05518557069114719,0.05973330832027208,0.04184947381798157,0.0073405266056267284,0.005995570267538896,0.0045477376291248855
High,Tutorial,Visa Application Tips,screen_recording,Tuesday,0,13.0,under_15,10,22643,1004,303,151,25,1,1.99,16.04,3,0.06439076094157134,0.06549485492205097,0.04434041425606148,0.013381619043412975,0.006668727642096895,0.0011040939804796185
Medium,Question,Destination Guides,voiceover,Monday,0,26.36,15_30,15,7489,291,47,30,41,0,6.14,18.25,3,0.04913873681399386,0.054613433035118175,0.03885699025237014,0.0062758712778742155,0.0040058752837494995,0.005474696221124315
Medium,Story,Destination Guides,voiceover,Thursday,1,76.84,over_60,13,152425,6035,764,480,486,14,17.28,23.42,5,0.047754633426275214,0.050943086763982286,0.03959324257831721,0.005012301131704117,0.0031490897162538955,0.003188453337707069
High,Question,Destination Guides,voiceover,Wednesday,1,39.08,30_45,15,80825,3198,793,434,672,4,10.91,29.99,4,0.05474791215589236,0.06306217135787194,0.039566965666563564,0.009811320754716982,0.005369625734611815,0.008314259201979585
High,Question,Visa Application Tips,voiceover,Saturday,1,22.78,15_30,11,148311,7208,1259,1175,710,13,4.79,17.13,3,0.06501203551995469,0.06979927314899097,0.04860057581703313,0.008488918556277012,0.00792254114664455,0.004787237629036282
Medium,Story,Visa Application Tips,voiceover,Tuesday,0,13.75,under_15,20,127272,4917,951,658,67,10,2.58,17.16,5,0.051276007291470235,0.051802438871079264,0.038633792193098246,0.0074721855553460306,0.00517002954302596,0.0005264315796090263
Medium,Statistic,Destination Guides,text_overlay,Monday,0,34.7,30_45,7,36109,1471,184,216,290,2,11.62,30.4,3,0.051815336896618575,0.05984657564596084,0.04073776620787061,0.005095682516824061,0.005981888171923897,0.00803123874934227
Medium,Question,Destination Guides,voiceover,Thursday,0,25.67,15_30,17,36254,1409,314,202,207,2,5.4,18.22,3,0.05309758923153307,0.0588073040216252,0.03886467700115849,0.008661113256468251,0.005571798973906327,0.005709714790092127
High,Question,Travel Hacks,voiceover,Wednesday,0,30.2,30_45,14,87028,3799,919,525,216,3,1.09,4.0,5,0.06024497862756814,0.06272693845658868,0.04365261754837524,0.010559819828101301,0.006032541251091603,0.002481959829020545
High,Story,Budget Travel,voiceover,Sunday,0,42.46,30_45,15,248610,10527,1382,799,2473,10,10.11,24.67,3,0.05111620610594908,0.06106351313301959,0.0423434294678412,0.005558907525843691,0.003213869112264189,0.009947307027070511
Medium,Statistic,Travel Hacks,voiceover,Tuesday,1,39.35,30_45,18,176206,7192,1596,798,975,13,7.8,19.2,4,0.05440223374913453,0.059935530004653646,0.040815863250967616,0.009057580332111279,0.004528790166055639,0.0055332962555191085
Medium,Question,Visa Application Tips,voiceover,Saturday,1,50.2,45_60,16,87215,3804,525,541,111,3,3.17,6.34,3,0.05583901851745686,0.057111735366622715,0.04361635039844063,0.00601960671902769,0.006203061399988534,0.0012727168491658545
High,Tutorial,Visa Application Tips,text_overlay,Friday,0,38.36,30_45,21,103186,5372,1351,712,72,9,6.82,17.29,4,0.07205434845812417,0.07275211753532455,0.05206132614889617,0.013092861434690753,0.006900160874537244,0.0006977690772003954
High,Tutorial,Visa Application Tips,text_overlay,Wednesday,0,7.36,under_15,11,35428,1294,317,244,304,3,1.0,22.37,5,0.05235971547928192,0.0609404990403071,0.036524782657784804,0.00894772496330586,0.006887207858191261,0.008580783561025178
Medium,Question,Destination Guides,voiceover,Friday,0,38.31,30_45,22,174114,6721,1435,309,1546,8,7.58,21.12,5,0.048617572395097466,0.0574968124332334,0.03860114637536327,0.008241726684815695,0.0017746993349185016,0.008879240038135934
Medium,Question,Destination Guides,text_overlay,Friday,1,53.18,45_60,19,237889,8807,1300,811,485,17,2.23,6.18,3,0.045895354556116506,0.0479341205352076,0.03702146799557777,0.005464733552202918,0.0034091530083358206,0.0020387659790910887
Medium,Question,Budget Travel,text_overlay,Monday,1,51.32,45_60,20,104767,4553,1033,529,95,6,1.51,4.0,5,0.05836761575687001,0.059274389836494315,0.043458340889783995,0.009859974992125382,0.005049299874960627,0.0009067740796243092
High,Question,Visa Application Tips,text_overlay,Friday,0,43.78,30_45,9,29648,1699,194,139,20,3,10.1,23.27,3,0.06853750674581759,0.06921208850512682,0.05730572045331894,0.006543443065299514,0.0046883432271991364,0.0006745817593092283
Medium,Story,Destination Guides,voiceover,Wednesday,1,22.04,15_30,9,49504,1997,325,264,74,4,1.64,5.68,5,0.05223820297349709,0.05373303167420815,0.040340174531351004,0.006565126050420168,0.005332902391725921,0.0014948287007110535
High,Question,Visa Application Tips,text_overlay,Saturday,1,46.2,45_60,22,106383,4727,983,512,739,11,10.89,25.74,3,0.05848678830264234,0.06543338691332262,0.04443379111324178,0.00924019815196037,0.004812799037440193,0.006946598610680278
Medium,Story,Travel Hacks,voiceover,Sunday,1,26.25,15_30,11,44915,1907,233,349,137,3,3.25,8.6,5,0.05541578537237003,0.05846599131693198,0.04245797617722365,0.005187576533452076,0.0077702326616943115,0.00305020594456195
Medium,Story,Budget Travel,text_overlay,Tuesday,1,15.03,15_30,11,45792,1886,350,337,71,4,2.23,5.33,5,0.05618885394828791,0.057739343116701605,0.041186233403214534,0.007643256464011181,0.0073593640810621945,0.0015504891684136968
High,Tutorial,Travel Hacks,voiceover,Saturday,0,55.83,45_60,21,163547,7218,563,1048,1629,15,8.5,17.43,5,0.05398448152518848,0.06394492103187463,0.04413410212354858,0.0034424355078356682,0.006407943893804228,0.009960439506686151
Medium,Story,Destination Guides,voiceover,Thursday,1,38.84,30_45,14,237640,8833,2436,957,1371,14,11.97,27.55,4,0.05144756774953711,0.05721679851876788,0.03716966840599226,0.010250799528698873,0.004027099814845986,0.0057692307692307696
High,Statistic,Visa Application Tips,voiceover,Sunday,1,30.31,30_45,11,158648,6856,1327,1103,1143,8,5.19,13.71,3,0.058532096212999846,0.06573672532903031,0.043215168171045336,0.008364429428672281,0.0069524986132822346,0.0072046291160304575
Medium,Story,Budget Travel,voiceover,Sunday,1,87.3,over_60,19,32834,1085,193,88,91,1,11.62,13.49,3,0.04160321617835171,0.04437473350794908,0.03304501431443017,0.005878053237497716,0.002680148626423829,0.0027715173295973687
Medium,Question,Destination Guides,voiceover,Wednesday,1,14.26,under_15,16,44314,1543,326,226,200,4,2.95,18.78,4,0.04727625581080471,0.051789502188924495,0.034819695807194115,0.007356591596335244,0.005099968407275353,0.004513246378119781
High,Tutorial,Travel Hacks,voiceover,Monday,0,42.11,30_45,18,84579,4637,768,692,429,5,7.01,19.21,3,0.07208645171969401,0.07715863275754029,0.0548244836188652,0.009080268151668854,0.008181699949159956,0.005072181037846274
High,Tutorial,Travel Hacks,text_overlay,Tuesday,1,39.42,30_45,14,398314,19903,3950,3462,2466,30,5.45,17.43,3,0.06857655015891985,0.07476764562631492,0.0499681156072847,0.009916799309087804,0.008691635242547338,0.00619109546739507
Medium,Tutorial,Travel Hacks,screen_recording,Wednesday,1,14.73,under_15,20,39430,1508,335,229,243,4,4.94,23.36,4,0.05254882069490236,0.058711640882576716,0.03824499112351002,0.008496068983007862,0.005807760588384479,0.00616282018767436
Medium,Story,Visa Application Tips,voiceover,Tuesday,0,60.48,over_60,13,90672,3290,435,503,240,3,15.86,25.87,3,0.046629610022939826,0.04927651314628551,0.03628463031586377,0.004797511911064055,0.005547467796011999,0.0026469031233456856
Medium,Story,Budget Travel,screen_recording,Tuesday,1,56.42,45_60,20,41013,1478,354,300,21,3,11.84,18.77,5,0.05198351742130544,0.05249555019140273,0.03603735400970424,0.008631409553068538,0.00731475385853266,0.0005120327700972862
High,Tutorial,Visa Application Tips,text_overlay,Sunday,1,24.92,15_30,9,212154,9511,1265,1654,1623,9,2.6,12.16,3,0.058589515163513295,0.0662396183904145,0.04483064189221037,0.005962649773277902,0.007796223498025019,0.007650103226901213
Medium,Dramatic,Destination Guides,voiceover,Tuesday,0,37.96,30_45,7,575157,17693,3903,2483,788,43,15.23,36.75,5,0.04186509074913458,0.04323515144560529,0.030762035409462114,0.0067859732212248135,0.004317082118447659,0.0013700606964707027
Medium,Statistic,Travel Hacks,voiceover,Thursday,1,55.76,45_60,14,19206,737,170,92,63,1,10.33,20.43,3,0.052014995313964384,0.05529522024367385,0.03837342497136312,0.008851400603977924,0.004790169738623347,0.0032802249297094657
Medium,Story,Travel Hacks,voiceover,Monday,0,44.12,30_45,8,118138,3812,1278,847,994,12,2.41,5.35,4,0.050254786774788805,0.05866867561665171,0.03226734835531328,0.010817857082395166,0.007169581337080364,0.008413888841862905
High,Tutorial,Travel Hacks,voiceover,Thursday,1,37.57,30_45,8,483338,27606,4190,4351,355,52,2.81,6.52,5,0.07478617447831538,0.07552065014544687,0.057115310610794105,0.008668881817692795,0.009001982049828484,0.0007344756671314898
Medium,Question,Budget Travel,voiceover,Tuesday,1,44.26,30_45,11,86177,3204,469,425,835,3,8.37,21.45,4,0.04755329148148578,0.05724265175162747,0.037179293779082585,0.00544228738526521,0.004931710317137983,0.009689360270141684
High,Question,Visa Application Tips,voiceover,Wednesday,0,54.15,45_60,7,72993,2910,707,345,681,3,6.08,12.14,4,0.05427917745537243,0.06360883920375926,0.03986683654597016,0.009685860287972818,0.004726480621429452,0.009329661748386831
Medium,Question,Destination Guides,screen_recording,Saturday,1,19.85,15_30,8,108356,4102,777,414,53,6,2.33,13.43,5,0.04884824098342501,0.04933736941193843,0.03785669459928384,0.007170807338772196,0.003820739045368969,0.0004891284285134188
High,Statistic,Travel Hacks,voiceover,Tuesday,1,24.1,15_30,11,141622,7292,669,815,86,3,8.15,29.21,4,0.061967773368544435,0.06257502365451695,0.051489175410600045,0.004723842340879242,0.005754755617065145,0.0006072502859725184
Medium,Story,Travel Hacks,screen_recording,Saturday,0,35.69,30_45,19,98708,3680,989,461,612,6,8.92,26.68,4,0.05197147141062528,0.05817157677189286,0.03728167929651092,0.01001945131093731,0.004670340803177048,0.0062001053612675775
Medium,Story,Visa Application Tips,voiceover,Tuesday,1,78.24,over_60,16,182244,7791,1502,1064,568,10,27.75,35.0,4,0.05683040319571563,0.0599471038827067,0.04275037861328768,0.008241697943416518,0.005838326639011435,0.003116700686991067
Medium,Statistic,Visa Application Tips,voiceover,Monday,1,7.54,under_15,21,17215,726,129,111,27,1,3.14,25.74,4,0.05611385419692129,0.057682253848388036,0.042172523961661344,0.0074934650014522215,0.0064478652338077255,0.001568399651466744
Medium,Story,Destination Guides,voiceover,Sunday,0,14.07,under_15,13,56045,1855,419,252,245,4,2.89,27.28,5,0.04507092514943349,0.049442412347220986,0.03309840306896244,0.007476135248461058,0.004496386832009992,0.004371487197787492
Medium,Question,Budget Travel,voiceover,Thursday,0,38.29,30_45,11,217520,8970,1761,1274,173,15,3.58,11.72,5,0.05519032732622288,0.055985656491357116,0.04123758734828981,0.008095807282089003,0.00585693269584406,0.0007953291651342405
High,Question,Visa Application Tips,screen_recording,Wednesday,0,37.01,30_45,15,88526,4174,806,634,612,9,9.31,28.4,3,0.06341639744255925,0.07032962067641145,0.04714998983349524,0.009104669814517768,0.007161737794546235,0.006913223233852202
Medium,Question,Budget Travel,voiceover,Monday,1,41.46,30_45,16,166918,6977,1735,954,94,17,9.76,22.79,5,0.057908673720030196,0.05847182448867108,0.04179896715752645,0.0103943253573611,0.0057153812051426445,0.0005631507686408895
Medium,Statistic,Budget Travel,voiceover,Wednesday,1,40.68,30_45,10,196995,7614,1572,1340,435,10,6.85,16.59,4,0.053432828244371684,0.05564100611690652,0.03865072717581664,0.007979897966953475,0.006802203101601564,0.002208177872534836
High,Question,Visa Application Tips,voiceover,Saturday,0,15.52,15_30,21,132892,6447,1372,941,87,7,1.21,14.4,5,0.06591818920627276,0.0665728561538693,0.04851307828913704,0.010324173012671944,0.007080937904463775,0.0006546669475965446
High,Tutorial,Visa Application Tips,voiceover,Monday,0,55.13,45_60,10,57808,3047,539,277,73,4,12.95,23.41,5,0.0668246609465818,0.06808746194298367,0.05270896761693883,0.009323969000830335,0.004791724328812621,0.0012628009964018821
High,Question,Visa Application Tips,text_overlay,Saturday,1,41.64,30_45,16,351337,17411,2255,2219,220,11,6.16,16.77,4,0.06229062125537589,0.0629168006785508,0.04955640880408269,0.0064183390875427295,0.006315873363750473,0.0006261794231749004
Medium,Story,Destination Guides,screen_recording,Monday,1,19.12,15_30,18,73140,2240,612,333,400,3,1.14,12.26,5,0.04354662291495762,0.049015586546349466,0.030626196335794366,0.008367514356029532,0.0045529122231337165,0.005468963631391851
High,Statistic,Travel Hacks,voiceover,Friday,0,47.34,45_60,18,35528,1422,277,137,317,3,7.42,18.13,5,0.05167755010132853,0.060600090069804095,0.040024769196127,0.007796667417248367,0.0038561134879531635,0.008922539968475569
High,Question,Visa Application Tips,voiceover,Wednesday,0,48.15,45_60,18,94625,3733,1087,670,513,5,5.74,12.28,3,0.058018494055482164,0.06343989431968296,0.03945046235138706,0.011487450462351388,0.007080581241743726,0.005421400264200793
High,Tutorial,Travel Hacks,screen_recording,Tuesday,1,26.35,15_30,8,122961,4992,995,686,1361,7,2.31,10.38,3,0.054269239840274555,0.06533779003098543,0.04059823846585503,0.008091996649344102,0.0055790047250754305,0.011068550190710876
High,Question,Budget Travel,voiceover,Saturday,0,36.68,30_45,20,85938,4226,1017,409,56,3,13.27,34.72,3,0.06576834462054039,0.06641997719285997,0.049174986618259676,0.01183411296516093,0.004759245037119784,0.0006516325723195792
Medium,Question,Budget Travel,voiceover,Sunday,1,14.08,under_15,9,26539,1118,269,118,17,3,1.0,15.21,5,0.05670899431026037,0.057349561023399526,0.04212668148762199,0.010136026225554843,0.004446286597083538,0.0006405667131391537
High,Statistic,Destination Guides,voiceover,Wednesday,1,36.51,30_45,14,290984,11595,1712,2506,2078,6,5.27,17.4,4,0.054343194127512165,0.06148448024633657,0.039847551755422976,0.005883485002611827,0.008612157369477359,0.007141286118824403
